article_id,Accession Number (UT),Database,Editions,1st Document Type,2nd Document Type,3rd Document Type,All Document Types (comma-separated),Primary Language,Number of Cited References,Times Cited,Citing items with citation context,Background,Support,Differ,Discuss,Basis,Keywords,Keywords Plus,Bib Type,Page count,Bib ID,1st Subject Sub-Heading,2nd Subject Sub-Heading,1st Subject Category (traditional),2nd Subject Category (traditional),Subject Category (extended),1st Category Heading,2nd Category Heading,Abstract,Cover date,Vol,Published Year,Sort date,Published month,Published Type,Journal OA Gold,ISSN,EISSN,DOI,XREF DOI,Pubmed ID,ISBN,EISBN,Parent Book DOI,Source title,Title,Source Abbreviation,Abbreviation ISO,Abbreviation 11,Abbreviation 29,Publisher SeqNo,Publisher Role,Publisher Full Name,Publisher Address No,Publisher Display name
2369,WOS:000419040400006,WOS,WOS.SSCI,Article,NA,NA,Article,English,46,NA,5,4,1,0,2,0,"self-management support,behaviour change support,chronic patients,primary care,nurses,behaviour change techniques","MOTIVATIONAL INTERVIEWING SKILLS,PHYSICAL-ACTIVITY BEHAVIOR,CHRONIC DISEASE,DIABETES CARE,OLDER-ADULTS,HEALTH-CARE,INTERVENTIONS,PEOPLE,CONSULTATIONS,EFFICACY",Journal,236,23 (1): 88-107 FEB 2018,NA,NA,"Psychology, Clinical",NA,Psychology,Social Sciences,NA,"ObjectivesTo examine how and to what extent self-management support, including behaviour change support, is provided by primary care nurses in routine consultations with chronically ill patients.
DesignObservational study design.
MethodsRoutine consultations of primary care nurses in the Netherlands with chronically ill patients were audio-taped and analysed. The analysis identified health topics addressed according to health care standards, self-management topics addressed using a validated set of topics, and behaviour change techniques (BCTs) using the Behaviour Change Techniques Taxonomy v1.
ResultsSeventy-eight routine consultations of 17 primary care nurses with chronically ill patients were included in the analysis. Nurses addressed both health topics and self-management topics in brief, fragmented, and often inconsistent manners. Dietary intake and physical activity were the most frequently addressed topics. Nurses applied 21 BCTs to target behaviour change, but the use of these techniques was mainly inconsistent and implicit. The most consistently used BCTs were review behaviour goal(s) (56.4%) and feedback on behaviour (51.3%).
ConclusionsNurses addressed both health topics and self-management topics in their routine consultations. The duration, frequency, and number of addressed topics differed throughout the consultations. Nurses tended to prioritize the monitoring and optimization of patients' medical treatment and provided limited self-management support. Nurses seldom deepened their focus on behaviour change and infrequently used effective techniques to support this change. Adoption of self-management in primary care, including behaviour change, might be enhanced if nurses consistently and explicitly use effective BCTs in their consultations.",FEB 2018,23,2018,2018-02-01,FEB,Journal,N,1359-107X,2044-8287,10.1111/bjhp.12276,NA,MEDLINE:28952179,NA,NA,NA,BRITISH JOURNAL OF HEALTH PSYCHOLOGY,Self-management support in routine primary care by nurses,BRIT J HEALTH PSYCH,Br. J. Health Psychol.,BR J H PSYC,BR J HEALTH PSYCHOL,1,publisher,WILEY,1,WILEY
5273,WOS:000435058500008,WOS,"WOS.SCI,WOS.SSCI",Article,NA,NA,Article,English,81,NA,30,22,3,0,15,1,"Emotion dysregulation,Emotion dysfunction,Difficulties regulating positive emotions,Alcohol misuse,Drug misuse,Substance use","NATIONAL EPIDEMIOLOGIC SURVEY,DISORDERS IDENTIFICATION TEST,POSTTRAUMATIC-STRESS,SUBSTANCE USE,EXPERIENTIAL AVOIDANCE,INITIAL VALIDATION,DRINKING MOTIVES,IMPULSE CONTROL,NEGATIVE AFFECT,RASH ACTION",Journal,288,84: 45-52 SEP 2018,Life Sciences & Biomedicine,NA,"Psychology, Clinical",Substance Abuse,"Psychology,Substance Abuse",Social Sciences,Science & Technology,"Introduction: Alcohol and drugs are widely used among college students. Emotion dysregulation has been identified as a key mechanism in the etiology, maintenance, and treatment of alcohol and drug misuse. Yet, research in this area has been limited by its narrow focus on dysregulation stemming from negative emotions. The goal of the current study was to extend past research by examining the relation of difficulties regulating positive emotions to alcohol and drug misuse.
Methods: Participants were 311 college students (M-age = 19.24; 66.1% female; 66.0% White) who completed measures assessing difficulties regulating positive emotions and alcohol and drug misuse.
Results: Structural equational modeling was used to model the relation between difficulties regulating positive emotions and alcohol and drug misuse. In a hypothesized structural model, higher levels of difficulties regulating positive emotions were found to relate to greater alcohol and drug misuse. Moreover, an alternative model provided support for an association of greater drug (but not alcohol) misuse to higher levels of difficulties regulating positive emotions.
Conclusions: If replicated, findings may suggest the utility of targeting difficulties regulating positive emotions in treatments aimed at reducing alcohol and drug misuse among college students.",SEP 2018,84,2018,2018-09-01,SEP,Journal,N,0306-4603,1873-6327,10.1016/j.addbeh.2018.03.027,NA,MEDLINE:29625262,NA,NA,NA,ADDICTIVE BEHAVIORS,Difficulties regulating positive emotions and alcohol and drug misuse: A path analysis,ADDICT BEHAV,Addict. Behav.,ADDICT BEHA,ADDICT BEHAV,1,publisher,PERGAMON-ELSEVIER SCIENCE LTD,1,PERGAMON-ELSEVIER SCIENCE LTD
1252,WOS:000447200600011,WOS,"WOS.SCI,WOS.SSCI",Article,NA,NA,Article,English,62,NA,60,29,2,0,19,30,"comorbidity,eating,disorders,network analysis,social anxiety disorder","APPEARANCE ANXIETY,ANOREXIA-NERVOSA,BULIMIA-NERVOSA,RISK-FACTORS,VALIDATION,SYMPTOMS,SELF,PERFECTIONISM,DEPRESSION,SCALE",Journal,154,51 (7): 693-709 JUL 2018,Life Sciences & Biomedicine,NA,"Psychology, Clinical",Nutrition & Dietetics,"Psychology,Nutrition & Dietetics,Psychiatry",Social Sciences,Science & Technology,"Objective: Eating disorders (EDs) and social anxiety disorder (SAD) are highly co-occurring. This comorbidity is extremely relevant, given that individuals with comorbid ED-SAD are less likely to seek and/or benefit from ED treatment.
Method: We used network analysis to conceptualize ED-SAD comorbidity in a sample of 2,215 participants with a primary diagnosis of ED, SAD, or no known diagnosis. We used novel network analyses methods to select symptoms for our models, identify potential illness pathways (i.e., bridge symptoms) between disorders and underlying vulnerabilities (e.g., perfectionism, social appearance anxiety), and to compare across sample types (e.g., clinical vs. nonclinical). We also tested several novel network analyses methods aimed at the following methodological concerns: (a) topological concerns (i.e., which items should be included in NA models), (b) how to use empirical indices to quantify bridge symptoms and (c) what differences in networks across samples mean.
Results: We found that difficulty with drinking beverages and eating in public were bridge symptoms between ED and SAD. We also found that feeling nervous about one's appearance was a bridge symptom.
Conclusions: We identified public eating and drinking as bridge symptoms between EDs and SAD. Future research is needed to test if interventions focused on public eating and drinking might decrease symptoms of both EDs and SAD. Researchers can use this study (code provided) as an exemplar for how to use network analysis, as well as to use network analysis to conceptualize ED comorbidity and compare network structure and density across samples.",JUL 2018,51,2018,2018-07-01,JUL,Journal,N,0276-3478,1098-108X,10.1002/eat.22890,NA,MEDLINE:30102777,NA,NA,NA,INTERNATIONAL JOURNAL OF EATING DISORDERS,Social anxiety and eating disorder comorbidity and underlying vulnerabilities: Using network analysis to conceptualize comorbidity,INT J EAT DISORDER,Int. J. Eating Disord.,INT J EAT D,INT J EATING DISORDER,1,publisher,WILEY,1,WILEY
356,WOS:000457134500004,WOS,"WOS.SCI,WOS.SSCI",Article,NA,NA,Article,English,75,NA,4,4,0,2,2,1,"Anxiety disorders,Internet-based,Cognitive behavioral therapy,Feasibility,Adolescents","RANDOMIZED CONTROLLED-TRIAL,MENTAL-HEALTH PROBLEMS,TEENS-CD-ROM,YOUNG-PEOPLE,DIFFICULTIES QUESTIONNAIRE,PSYCHOMETRIC PROPERTIES,HELP-SEEKING,DSM-IV,CHILDREN,DEPRESSION",Journal,81,11: 30-40 MAR 2018,Life Sciences & Biomedicine,NA,"Psychology, Clinical",Health Care Sciences & Services,"Psychology,Health Care Sciences & Services,Medical Informatics,Psychiatry",Social Sciences,Science & Technology,"Background: Cognitive behavioral therapy (CBT) is a well-documented effective method for the treatment of anxiety disorders in children and adolescents. While internet based CBT (ICBT) programs for adults have been widely investigated, research on ICBT programs for anxiety disorders in youth is still in an early phase: To date, no such program has been developed or evaluated in Denmark.
Aim: As preparation for a randomized controlled efficacy trial, this study aimed at evaluating the feasibility of a translated and adapted version of the ICBT program 'Chilled Out' for adolescents with anxiety disorders, developed at Macquarie University, Australia.
Methods: At the University Clinic in Aarhus, Denmark, we conducted a feasibility study with six adolescents with a primary anxiety disorder. The 12-week ICBT intervention consisted of eight online modules. Participants received weekly phone calls from a clinical psychologist. Semi-structured interviews on participant's experiences of the program were administered post-treatment and at three-month follow-up. Outcome was evaluated posttreatment and at follow-up using diagnostic interview and questionnaires.
Results: Five of the six participants completed the program. Participants were generally satisfied with the program and the majority would recommend it to others. Preliminary clinical outcome results indicated moderate to large improvements (e.g., a standardized mean difference from pre-to post-treatment of d = 1.54 on the clinical severity rating of their primary anxiety disorder).
Conclusion: Results from this study indicate that a translated and revised version of the Chilled Out program could be a feasible psychological intervention for Danish adolescents with anxiety disorders.",MAR 2018,11,2018,2018-03-01,MAR,Journal,Y,NA,2214-7829,10.1016/j.invent.2018.01.001,NA,MEDLINE:30135757,NA,NA,NA,INTERNET INTERVENTIONS-THE APPLICATION OF INFORMATION TECHNOLOGY IN MENTAL AND BEHAVIOURAL HEALTH,Internet-based cognitive behavioral therapy for adolescents with anxiety disorders: A feasibility study,INTERNET INTERV,Internet Interv.,INTE INTERV,INTERNET INTERV,1,publisher,ELSEVIER,1,ELSEVIER
7700,WOS:000424670800008,WOS,WOS.SSCI,Article,NA,NA,Article,English,8,NA,5,5,0,0,2,0,NA,"DISORDERS,CHILDREN",Journal,113,33 (1): 87-92 FEB 2018,NA,NA,"Psychology, Clinical",NA,Psychology,Social Sciences,NA,"Many children with feeding disorders lack age-appropriate self-feeding without intervention, irrespective of whether refusal is a motivational or skill deficit. When a target behavior is infrequent or absent, multistep tasks can be shaped using chaining by targeting a preexisting step within an individual's behavioral repertoire. Studies suggest when the preexisting response is in the final step of the chain, backward chaining may increase mastery. In this study, we investigated the use of backward chaining to increase self-feeding of solids of a 4-year-old male.",FEB 2018,33,2018,2018-02-01,FEB,Journal,N,1072-0847,1099-078X,10.1002/bin.1504,NA,NA,NA,NA,NA,BEHAVIORAL INTERVENTIONS,Using backward chaining and a physical guidance delay to teach self-feeding,BEHAV INTERVENT,Behav. Intervent.,BEHAV INTER,BEHAV INTERVENT,1,publisher,WILEY,1,WILEY
3954,WOS:000442396700007,WOS,"WOS.SCI,WOS.SSCI",Article,NA,NA,Article,English,43,NA,2,1,0,0,0,1,"weight perceptions,physical activity,barriers,family-level interventions,actor-partner interdependence model","SOCIAL COGNITIVE THEORY,SEDENTARY BEHAVIOR,AMERICAN FAMILIES,HEALTH-PROMOTION,BODY-IMAGE,US ADULTS,PERCEPTION,OVERWEIGHT,CHILDREN,OBESITY",Journal,106,37 (8): 767-774 AUG 2018,NA,NA,"Psychology, Clinical",Psychology,Psychology,Social Sciences,NA,"Objective: Family-based physical activity interventions have the potential to reduce obesity, but more information is needed regarding physical activity in the family context. This study used an actor-partner interdependence model to estimate the dyadic association between perceived weight status and barriers to physical activity in dyads of adults and their adolescent children. It was hypothesized that greater perceived weight would be associated with greater barriers perceived by both one's self and one's partner. Method: Data from 1,568 dyads in the Family Life, Activity, Sun, Health, and Eating study were used to examine the dyadic association between perceived weight status (i.e., greater perceived weight category) and barriers to physical activity. Models were stratified by actual weight (an overweight or obese dyad member vs. two normal weight dyad members) and adjusted for parent education, parent and adolescent age, gender. and race. Results: Among dyads with at least 1 overweight/obese member, greater perceived weight status was positively associated with one's own perceived barriers (significant actor effects, beta s = 1.17 and 1.03, ps < 0.01) and one's partner's perceived barriers (significant partner effects, beta s = 0.38 and 0.62, ps < 0.01). No statistically significant relationships were found for dyads with only normal weight members. Conclusions: Among dyads with at least 1 overweight or obese member, significant partner effects for parents and adolescents demonstrate that the weight perception of 1 dyad member correlates with the barriers of the other member. These dyadic associations highlight the potential importance of family-based interventions for physical activity.",AUG 2018,37,2018,2018-08-01,AUG,Journal,N,0278-6133,1930-7810,10.1037/hea0000635,NA,MEDLINE:30024232,NA,NA,NA,HEALTH PSYCHOLOGY,Perceived Weight and Barriers to Physical Activity in Parent-Adolescent Dyads,HEALTH PSYCHOL,Health Psychol.,HEALTH PSYC,HEALTH PSYCHOL,1,publisher,AMER PSYCHOLOGICAL ASSOC,1,AMER PSYCHOLOGICAL ASSOC
5403,WOS:000434404700004,WOS,WOS.SSCI,Article,NA,NA,Article,English,46,NA,NA,NA,NA,NA,NA,NA,"Psychotherapy,schizophrenia,authenticity,emotions,openness,opportunity,collaboration,dialog","RANDOMIZED CONTROLLED-TRIAL,1ST-EPISODE PSYCHOSIS,THEORETICAL FRAMEWORK,FOLLOW-UP,RECOVERY,THERAPY,NEED,ANTIPSYCHOTICS,DIALOGUE,PEOPLE",Journal,82,10 (2): 110-121 2018,Life Sciences & Biomedicine,NA,"Psychology, Clinical",Psychiatry,"Psychology,Psychiatry",Social Sciences,Science & Technology,"Introduction: Although pharmacological interventions have been the mainstay of treatment for schizophrenia, there has been a growing recognition of the importance of psychotherapy.Aims: To investigate whether a novel psychotherapeutic approach, dialog therapy (DT), has an effect beyond standard psychiatric treatment (ST) in schizophrenia.Methods: Twenty-four patients diagnosed with schizophrenia and treated with DT and 24 patients matched on age, sex, and diagnosis receiving ST were included in the study.Results: At follow-up after a mean of 4 years and 1 month, the DT group had significantly higher scores on the GAF functions (GAF-F) and GAF symptoms (GAF-S) subscales compared to the ST group. Effect sizes (Cohen's d) were very large, 238 for GAF-S and 241 for GAF-F. The number and doses of psychoactive drugs were significantly lower in the DT group compared to the ST group at follow-up, despite a shorter time in psychotherapy in the DT group.Conclusions: This study provides preliminary evidence that dialog therapy may lead to improvements in symptoms and functioning compared to standard psychiatric treatment.",2018,10,2018,2018-01-01,NA,Journal,N,1752-2439,1752-2447,10.1080/17522439.2018.1460392,NA,NA,NA,NA,NA,PSYCHOSIS-PSYCHOLOGICAL SOCIAL AND INTEGRATIVE APPROACHES,Psychotherapy in schizophrenia: a retrospective controlled study,PSYCHOSIS,Psychosis,PSYCHOSIS,PSYCHOSIS,1,publisher,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"
932,WOS:000447379600004,WOS,WOS.ESCI,Article,NA,NA,Article,English,50,NA,6,5,1,0,2,0,"mental health,school counselling,therapeutic relationship,young people","ADOLESCENT PATIENTS EXPERIENCES,MENTAL-HEALTH,CLIENTS NARRATIVES,SECONDARY-SCHOOLS,EXPECTATIONS,ADULTS,WANT,ELSE,LIFE,HELP",Journal,70,18 (4): 377-386 DEC 2018,NA,NA,"Psychology, Clinical",NA,Psychology,Social Sciences,NA,"Aim: The counselling relationship is important for engaging young people, but more understanding about how young people experience this in the context of school counselling is necessary. This study explored young people's understanding of the counselling relationship in two New Zealand schools.
Method: Twenty-two participants between the ages of 16 and 18 took part in unstructured narrative interviews on their experience of school counselling. The data were analysed to identify themes related specifically to participants' experience of the counselling relationship.
Findings: Five themes highlighting positive aspects of the relationship with the school counsellor were identified; young people's experiences of a genuine connection with a counsellor, the experience of being listened to, availability and accessibility of the counsellor on site at school, the counsellor's belief in the young person and the counsellor's potential to be an advocate for the young person in the school context. Negative experiences of the counselling relationship were described in the absence of these features.
Conclusions: and implications for practiceThe School counsellor has the potential to be experienced as a refuge for young people in the context of a hierarchical and evaluative school environment, within which they can feel accepted, understood and safe. Accessibility and the counsellor's ability to serve as an advocate in the school context means school counselling can be an important primary care intervention for young people in distress.",DEC 2018,18,2018,2018-12-01,DEC,Journal,N,1473-3145,1746-1405,10.1002/capr.12186,NA,NA,NA,NA,NA,COUNSELLING & PSYCHOTHERAPY RESEARCH,"""It's like a refuge"": Young people's relationships with school counsellors",COUNS PSYCHOTHER RES,Couns. Psychother. Res.,COU PSY RES,COUNS PSYCHOTHER RES,1,publisher,WILEY,1,WILEY
5637,WOS:000433013400005,WOS,WOS.ESCI,Article,NA,NA,Article,English,42,NA,NA,NA,NA,NA,NA,NA,"Resistance,boundaries,humanistic,hermeneutic phenomenology,reflexivity",NA,Journal,68,13 (2): 114-127 2018,NA,NA,"Psychology, Clinical",NA,Psychology,Social Sciences,NA,"The concept of resistance in psychotherapy has been hotly contested with different schools having different understandings of what it is and how to work with it. Since its introduction in the psychoanalytic field there is general agreement that resistance can be understood as a defensive/protective response to threat. Within the creative arts therapies, it is particularly prominent because it also refers to the ways clients respond to the introduction of artistic action. This paper describes our own humanistically-orientated understandings. In our research, we explored how we engage resistance in therapy using a reflexive, inter-subjective and dialogical approach. We engaged in extended dialogue, which moved between experiential closeness and analytic reflective distance, and mutually generated a description of resistance as a co-created dance that occurs at the contact boundaries between two intentionally engaged individuals. This comprised three themes: being delicate, respectful and patient; being curious and playful; and partnering and collaborating.",2018,13,2018,2018-01-01,NA,Journal,N,1743-2979,1743-2987,10.1080/17432979.2018.1448302,NA,NA,NA,NA,NA,BODY MOVEMENT AND DANCE IN PSYCHOTHERAPY,Resistance as a 'dance' between client and therapist,BODY MOV DANCE PSYCH,Body Mov. Dance Psychother.,BOY MOV DAN,BODY MOV DANCE PSYCHOTHER,1,publisher,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"
4002,WOS:000442289700002,WOS,WOS.ESCI,Article,NA,NA,Article,English,109,NA,1,1,0,0,0,0,"Couples,dominant discourses,narrative therapy,substance abuse","SERIOUS MENTAL-ILLNESS,FAMILY-MEMBERS,ADDICTION TREATMENT,SIGNIFICANT OTHERS,NARRATIVE THERAPY,DRUG-DEPENDENCE,CO-DEPENDENCY,ALCOHOL,WOMEN,RELATIVES",Journal,94,29 (3): 201-222 2018,NA,NA,"Psychology, Clinical",NA,Psychology,Social Sciences,NA,"The needs of partners of illicit substance users (ISU) in recovery have traditionally been left out of the treatment process. Dominant social discourses concerning partners' behaviors typically constrain and marginalize the spectrum of their experiences beyond illicit substance use. This article discusses prevailing dominant discourses in the field that conceptualize society's perception of partners of illicit substance users. Reaching beyond the scope of dominant approaches, Narrative Therapy Practices can help partners of illicit substance users in early recovery help create alternative stories, derive new meanings, and develop personal agency in addressing their problems. Considering the ideas expressed in this article, this article bridges the current treatment gap by opening space for reconfiguring understanding of partners' experiences. In order to help bring counselors awareness and generate new conversations that will attend to the needs of partners in recovery. It will also promote a greater understanding of narrative practices with groups as a means to facilitate an environment that will help partners of those in early recovery cope with the impact of illicit substance use on their lives.
This article contributes toward future development of practices to assist partners of illicit substance users (ISU) in early recovery.",2018,29,2018,2018-01-01,NA,Journal,N,0897-5353,1540-4080,10.1080/08975353.2017.1410768,NA,NA,NA,NA,NA,JOURNAL OF FAMILY PSYCHOTHERAPY,Developing Alternative Stories with Partners of Illicit Substance Users,J FAM PSYCHOTHER,J. Fam. Psychother.,J FAMIL PSY,J FAM PSYCHOTHER,1,publisher,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD"
