article_id,DOI,journal_name,title
2369,https://doi.org/10.1111/bjhp.12276,BRITISH JOURNAL OF HEALTH PSYCHOLOGY,Self-management support in routine primary care by nurses
5273,https://doi.org/10.1016/j.addbeh.2018.03.027,ADDICTIVE BEHAVIORS,Difficulties regulating positive emotions and alcohol and drug misuse: A path analysis
1252,https://doi.org/10.1002/eat.22890,INTERNATIONAL JOURNAL OF EATING DISORDERS,Social anxiety and eating disorder comorbidity and underlying vulnerabilities: Using network analysis to conceptualize comorbidity
356,https://doi.org/10.1016/j.invent.2018.01.001,INTERNET INTERVENTIONS-THE APPLICATION OF INFORMATION TECHNOLOGY IN MENTAL AND BEHAVIOURAL HEALTH,Internet-based cognitive behavioral therapy for adolescents with anxiety disorders: A feasibility study
7700,https://doi.org/10.1002/bin.1504,BEHAVIORAL INTERVENTIONS,Using backward chaining and a physical guidance delay to teach self-feeding
3954,https://doi.org/10.1037/hea0000635,HEALTH PSYCHOLOGY,Perceived Weight and Barriers to Physical Activity in Parent-Adolescent Dyads
5403,https://doi.org/10.1080/17522439.2018.1460392,PSYCHOSIS-PSYCHOLOGICAL SOCIAL AND INTEGRATIVE APPROACHES,Psychotherapy in schizophrenia: a retrospective controlled study
932,https://doi.org/10.1002/capr.12186,COUNSELLING & PSYCHOTHERAPY RESEARCH,"""It's like a refuge"": Young people's relationships with school counsellors"
5637,https://doi.org/10.1080/17432979.2018.1448302,BODY MOVEMENT AND DANCE IN PSYCHOTHERAPY,Resistance as a 'dance' between client and therapist
4002,https://doi.org/10.1080/08975353.2017.1410768,JOURNAL OF FAMILY PSYCHOTHERAPY,Developing Alternative Stories with Partners of Illicit Substance Users
259,https://doi.org/10.1080/15332691.2018.1433569,JOURNAL OF COUPLE & RELATIONSHIP THERAPY-INNOVATIONS IN CLINICAL AND EDUCATIONAL INTERVENTIONS,"Forgiveness, Attributions, and Marital Quality in U.S. and Indian Marriages"
5434,https://doi.org/10.1037/fam0000372,JOURNAL OF FAMILY PSYCHOLOGY,Bidirectional Effects Between Parenting Sensitivity and Child Behavior: A Cross-Lagged Analysis Across Middle Childhood and Adolescence
481,https://doi.org/10.1017/S1355617718000462,JOURNAL OF THE INTERNATIONAL NEUROPSYCHOLOGICAL SOCIETY,Modeling the Structure of Acute Sport-Related Concussion Symptoms: A Bifactor Approach
7326,https://doi.org/10.1002/jts.22257,JOURNAL OF TRAUMATIC STRESS,Parent Discrepancies in Ratings of Child Behaviors Following Wartime Deployment
8491,https://doi.org/10.1016/j.addbeh.2017.09.018,ADDICTIVE BEHAVIORS,Testing weight motives and guilt/shame as mediators of the relationship between alcohol use and physical activity
2454,https://doi.org/10.1080/0167482X.2017.1312335,JOURNAL OF PSYCHOSOMATIC OBSTETRICS & GYNECOLOGY,Impact of different educational interventions on psychosocial well-being of women with a positive high-risk human papillomavirus and normal cervical cytology: a randomised trial
7789,https://doi.org/10.1007/s10802-017-0303-8,JOURNAL OF ABNORMAL CHILD PSYCHOLOGY,The Mediating Role of Autonomy and Relatedness on Maternal and Child Outcomes
5468,https://doi.org/10.1037/rep0000205,REHABILITATION PSYCHOLOGY,Coping and Posttraumatic Growth: A Longitudinal Comparison of Two Alternative Views
6341,https://doi.org/10.1017/S1041610216001204,INTERNATIONAL PSYCHOGERIATRICS,Attitudes to diagnosis and management in dementia care: views of future general practitioners
2274,https://doi.org/10.1177/1359105316644294,JOURNAL OF HEALTH PSYCHOLOGY,A critical review of sanctioned knowledge production concerning abortion in Africa: Implications for feminist health psychology
2552,https://doi.org/10.1177/1359105316669879,JOURNAL OF HEALTH PSYCHOLOGY,Nutritionism and the construction of 'poor choices' in families facing food insecurity
727,https://doi.org/10.1007/s40617-018-00285-7,BEHAVIOR ANALYSIS IN PRACTICE,The Use of a Multicomponent Behavioral Intervention to Promote Physical Activity in Adolescents with Autism Spectrum Disorders across Inclusive Community Settings
945,https://doi.org/10.1037/abn0000372,JOURNAL OF ABNORMAL PSYCHOLOGY,Eye Avoidance in Young Children With Autism Spectrum Disorder Is Modulated by Emotional Facial Expressions
626,https://doi.org/10.1002/eat.22957,INTERNATIONAL JOURNAL OF EATING DISORDERS,Self-report measures of loss of control over eating: Psychometric properties in clinical and non-clinical samples
